"","id","gap_size","gap_proprotion","e_ndvi","e_elev","e_prec","e_area","e_edge","e_earatio","d_ndvi","d_elev","d_prec","d_area","d_edge","d_earatio","gap_size_km","e_ndvi_r","e_elev_km","e_prec_m","e_area_km","e_edge_km","e_earatio_km","d_ndvi_r","d_elev_km","d_prec_m","d_area_km","d_edge_km","d_earatio_km","g_edge","g_edge_km","long","lat","ess_id","ess_id2","ess_id3","X","Y","pop_density","elev","e_area_h","d_area_h","gap_size_h10","pop_density_catch_100","pop_density_catch_100_2","elev_km","d_ndvi_r_10"
"15",2243,147.235,0.009397322,426.945,2713.765,1122.55,15667.762,481.686,0.030743765,430.302,2713.25,1122.55,15520.527,525.731,0.03387327,0.000147235,426.945,2.713765,1.12255,0.015667762,0.481686,30.74376545,430.302,2.71325,1.12255,0.015520527,0.525731,33.8732699,44.054,0.044054,377231.6918,1356125.969,NA,NA,NA,377232.0375,1356123.573,84.53373,2724,1.5667762,1.5520527,0.147235,3.41164108675352,11.6392949048248,2.724,4.30302
"16",1316,143.372,0.021341093,166.594,1516.889,1248.416,6718.119,329.538,0.049052123,168.201,1516.889,1248.416,6574.747,373.712,0.056840514,0.000143372,166.594,1.516889,1.248416,0.006718119,0.329538,49.05212307,168.201,1.516889,1.248416,0.006574747,0.373712,56.84051417,44.185,0.044185,393921.0685,1111086.783,NA,NA,NA,393923.0386,1111082.875,124.07188,1512,0.6718119,0.6574747,0.143372,5.00733522013938,25.0734060068483,1.512,1.68201
"17",2366,150.922,0.023990351,341.728,2306.571,1298.506,6290.946,340.837,0.054178974,344.629,2306.571,1298.506,6140.024,385.334,0.062757735,0.000150922,341.728,2.306571,1.298506,0.006290946,0.340837,54.17897404,344.629,2.306571,1.298506,0.006140024,0.385334,62.75773515,44.51,0.04451,405857.787,1191639.253,NA,NA,NA,405863.5748,1191637.462,125.55207,2316,0.6290946,0.6140024,0.150922,5.06707323264872,25.6752311450252,2.316,3.44629
"18",1707,114.001,0.007238326,215.355,1857,1341.312,15749.637,515.592,0.032736755,216.453,1857,1341.312,15635.636,560.355,0.035838325,0.000114001,215.355,1.857,1.341312,0.015749637,0.515592,32.7367545,216.453,1.857,1.341312,0.015635636,0.560355,35.83832471,44.774,0.044774,387594.1922,1116362.664,NA,NA,NA,387594.472,1116363.292,69.81288,1870,1.5749637,1.5635636,0.114001,2.81753200518412,7.93848660023687,1.87,2.16453
"19",945,157.353,0.02475512,155.375,1774.8,1168.77,6356.382,601.39,0.094611998,155.889,1774.8,1168.77,6199.029,646.453,0.104282945,0.000157353,155.375,1.7748,1.16877,0.006356382,0.60139,94.61199783,155.889,1.7748,1.16877,0.006199029,0.646453,104.282945,45.075,0.045075,399718.5706,1229689.928,NA,NA,NA,399723.6454,1229675.718,58.34167,1780,0.6356382,0.6199029,0.157353,2.35457300230116,5.54401402316549,1.78,1.55889
"20",1615,134.552,0.010948044,377.61,2303.538,1226.571,12290.049,536.107,0.043621226,379.521,2303.538,1226.571,12155.497,581.484,0.047837123,0.000134552,377.61,2.303538,1.226571,0.012290049,0.536107,43.62122559,379.521,2.303538,1.226571,0.012155497,0.581484,47.83712258,45.392,0.045392,428779.0078,1208749.162,NA,NA,NA,428777.1858,1208743.022,99.33482,2307,1.2290049,1.2155497,0.134552,4.00898852159091,16.0719889662477,2.307,3.79521
"22",1617,162.188,0.016629248,335.713,2453,1209.429,9753.177,416.074,0.042660356,337.881,2453,1209.429,9590.989,461.75,0.048144149,0.000162188,335.713,2.453,1.209429,0.009753177,0.416074,42.6603557,337.881,2.453,1.209429,0.009590989,0.46175,48.14414864,45.691,0.045691,431990.739,1212717.237,NA,NA,NA,431987.9046,1212721.653,55.58657,2463,0.9753177,0.9590989,0.162188,2.24338173748752,5.03276162009252,2.463,3.37881
"23",1320,157.063,0.027539278,215.603,1947.667,1134.554,5703.236,371.386,0.06511847,218.052,1947.667,1134.554,5546.173,417.072,0.075199962,0.000157063,215.603,1.947667,1.134554,0.005703236,0.371386,65.11846958,218.052,1.947667,1.134554,0.005546173,0.417072,75.19996221,45.698,0.045698,395646.9583,1116897.166,NA,NA,NA,395648.6168,1116892.263,86.9637,1949,0.5703236,0.5546173,0.157063,3.50971064421394,12.3180688061086,1.949,2.18052
"24",184,161.101,0.024221537,184.882,1825,1198.066,6651.147,332.717,0.050024003,185.958,1825,1198.066,6490.046,378.562,0.058329633,0.000161101,184.882,1.825,1.198066,0.006651147,0.332717,50.02400338,185.958,1.825,1.198066,0.006490046,0.378562,58.32963279,45.855,0.045855,383362.2943,1232423.709,NA,NA,NA,383356.0151,1232418.51,110.24181,1827,0.6651147,0.6490046,0.161101,4.44917654141223,19.7951718966529,1.827,1.85958
"26",6,154.46,0.011593039,330.265,2039.929,1460.213,13323.512,570.97,0.042854316,331.269,2039.929,1460.213,13169.052,616.938,0.046847564,0.00015446,330.265,2.039929,1.460213,0.013323512,0.57097,42.85431649,331.269,2.039929,1.460213,0.013169052,0.616938,46.84756351,45.959,0.045959,280322.1463,1158327.901,NA,NA,NA,280321.362,1158333.589,357.23792,2039,1.3323512,1.3169052,0.15446,14.4175297318404,207.865163568502,2.039,3.31269
"29",2276,166.743,0.02871305,328.553,2048.333,1312.018,5807.22,419.427,0.072225092,336.477,2048.333,1312.018,5640.477,465.984,0.08261429,0.000166743,328.553,2.048333,1.312018,0.00580722,0.419427,72.22509221,336.477,2.048333,1.312018,0.005640477,0.465984,82.61428954,46.571,0.046571,412964.0297,1216934.918,NA,NA,NA,412966.9301,1216935.121,73.70778,2060,0.580722,0.5640477,0.166743,2.97472370687286,8.84898113223142,2.06,3.36477
"31",568,171.997,0.023159071,345.182,2123.444,1358.692,7426.766,417.383,0.056199832,347.943,2123.444,1358.692,7254.769,464.67,0.064050282,0.000171997,345.182,2.123444,1.358692,0.007426766,0.417383,56.1998318,347.943,2.123444,1.358692,0.007254769,0.46467,64.05028196,47.3,0.0473,399248.7274,1218875.276,NA,NA,NA,399246.5466,1218872.297,87.13742,2125,0.7426766,0.7254769,0.171997,3.51672169518248,12.3673314813671,2.125,3.47943
"33",2007,168.856,0.025354462,392.749,2262.429,1048.569,6659.814,304.05,0.045654428,397.804,2262.429,1048.569,6490.958,351.587,0.054165656,0.000168856,392.749,2.262429,1.048569,0.006659814,0.30405,45.65442819,397.804,2.262429,1.048569,0.006490958,0.351587,54.16565629,47.552,0.047552,429310.669,1140870.928,NA,NA,NA,429306.8897,1140868.599,119.29573,2255,0.6659814,0.6490958,0.168856,4.81457773059647,23.1801587239555,2.255,3.97804
"35",1295,170.231,0.020980108,270.568,2073.444,1123.887,8113.924,458.247,0.05647662,273.217,2073.444,1123.887,7943.693,506.072,0.063707397,0.000170231,270.568,2.073444,1.123887,0.008113924,0.458247,56.4766197,273.217,2.073444,1.123887,0.007943693,0.506072,63.70739655,47.837,0.047837,395383.1002,1121855.131,NA,NA,NA,395377.3633,1121860.31,93.91032,2084,0.8113924,0.7943693,0.170231,3.79006470177255,14.3645904436222,2.084,2.73217
"36",2914,175.573,0.014415675,423.808,2486.857,1520.91,12179.312,442.29,0.036314859,424.694,2486.846,1520.91,12003.739,490.164,0.040834277,0.000175573,423.808,2.486857,1.52091,0.012179312,0.44229,36.31485916,424.694,2.486846,1.52091,0.012003739,0.490164,40.83427672,47.873,0.047873,317694.4785,1205241.864,NA,NA,NA,317690.8474,1205240.245,66.23569,2490,1.2179312,1.2003739,0.175573,2.67316255195967,7.14579802919952,2.49,4.24694
"38",2353,131.646,0.003475952,432.15,3265.692,1569.524,37873.37,1014.158,0.026777601,433.393,3265.692,1569.524,37741.724,1062.538,0.028152874,0.000131646,432.15,3.265692,1.569524,0.03787337,1.014158,26.77760125,433.393,3.265692,1.569524,0.037741724,1.062538,28.15287399,48.393,0.048393,392946.2928,1179390.004,NA,NA,NA,392951.1397,1179386.144,228.74887,3288,3.787337,3.7741724,0.131646,9.23192485934834,85.2284366086539,3.288,4.33393
"39",940,178.281,0.030842372,307.265,2513.167,1546.081,5780.392,326.571,0.056496341,312.32,2513.167,1546.081,5602.111,375.133,0.066962793,0.000178281,307.265,2.513167,1.546081,0.005780392,0.326571,56.49634142,312.32,2.513167,1.546081,0.005602111,0.375133,66.96279313,48.566,0.048566,343656.8708,1221587.465,NA,NA,NA,343656.4774,1221589.566,328.92984,2522,0.5780392,0.5602111,0.178281,13.2750625910304,176.227286795774,2.522,3.1232
"40",1694,178.328,0.027071638,200.979,2106.571,1248.879,6587.263,325.682,0.049441172,202.571,2106.571,1248.879,6408.935,375.113,0.058529693,0.000178328,200.979,2.106571,1.248879,0.006587263,0.325682,49.44117155,202.571,2.106571,1.248879,0.006408935,0.375113,58.52969331,49.437,0.049437,353637.887,1104336.941,22,NA,NA,353637.0833,1104336.965,102.81898,2128,0.6587263,0.6408935,0.178328,4.1496034383682,17.2192086957172,2.128,2.02571
"42",2864,186.054,0.015375109,384.432,2529.071,1782.255,12100.987,474.977,0.039251096,387.274,2529.071,1782.255,11914.933,524.513,0.044021481,0.000186054,384.432,2.529071,1.782255,0.012100987,0.474977,39.2510958,387.274,2.529071,1.782255,0.011914933,0.524513,44.02148128,49.535,0.049535,314347.9211,1212868.73,NA,NA,NA,314347.3956,1212862.48,87.49407,2539,1.2100987,1.1914933,0.186054,3.53111549743858,12.4687766562509,2.539,3.87274
"43",3149,184.183,0.013579462,333.78,2229.857,1589.166,13563.35,443.054,0.032665529,335.671,2229.857,1589.166,13379.167,492.709,0.036826583,0.000184183,333.78,2.229857,1.589166,0.01356335,0.443054,32.6655288,335.671,2.229857,1.589166,0.013379167,0.492709,36.8265827,49.657,0.049657,328418.0755,1259406.103,18,NA,NA,328417.2287,1259407.201,51.18367,2229,1.356335,1.3379167,0.184183,2.06568799865845,4.26706690780155,2.229,3.35671
"45",1758,149.098,0.010077141,347.983,2064.588,1316.635,14795.665,598.075,0.040422313,349.074,2064.588,1316.635,14646.567,648.088,0.044248458,0.000149098,347.983,2.064588,1.316635,0.014795665,0.598075,40.42231289,349.074,2.064588,1.316635,0.014646567,0.648088,44.24845768,50.017,0.050017,335999.8285,1129059.247,NA,NA,NA,335995.6595,1129062.824,357.68234,2070,1.4795665,1.4646567,0.149098,14.4354657856709,208.382672449276,2.07,3.49074
"46",1400,194.348,0.03396097,197.136,2059.143,1267.571,5722.687,313.549,0.054790521,199.65,2059.143,1267.571,5528.339,364.012,0.065844732,0.000194348,197.136,2.059143,1.267571,0.005722687,0.313549,54.79052061,199.65,2.059143,1.267571,0.005528339,0.364012,65.84473203,50.472,0.050472,366416.0222,1103015.455,NA,NA,NA,366419.37,1103019.62,226.81744,2057,0.5722687,0.5528339,0.194348,9.15397554912403,83.7952683539605,2.057,1.9965
"47",1815,194.584,0.019349078,240.868,2129.3,1248.879,10056.5,431.503,0.042907871,243.348,2129.3,1248.879,9861.916,482.039,0.048878839,0.000194584,240.868,2.1293,1.248879,0.0100565,0.431503,42.90787053,243.348,2.1293,1.248879,0.009861916,0.482039,48.87883855,50.543,0.050543,355510.8171,1104334.543,22,NA,NA,355501.9288,1104323.724,109.36699,2128,1.00565,0.9861916,0.194584,4.41387025768958,19.4822506517167,2.128,2.43348
"48",362,188.136,0.029253689,366.083,1992,1597.494,6431.189,501.056,0.077910321,368.413,1992,1597.494,6243.053,551.659,0.088363658,0.000188136,366.083,1.992,1.597494,0.006431189,0.501056,77.91032109,368.413,1.992,1.597494,0.006243053,0.551659,88.36365797,50.592,0.050592,278822.9934,1173643.874,NA,NA,NA,278810.8772,1173645.44,83.12372,1991,0.6431189,0.6243053,0.188136,3.35473542260345,11.2542497556703,1.991,3.68413
"50",2283,189.362,0.021668022,358.326,2007.8,1307.931,8739.238,446.357,0.051075048,362.475,2007.8,1307.931,8549.876,497.114,0.058142832,0.000189362,358.326,2.0078,1.307931,0.008739238,0.446357,51.07504796,362.475,2.0078,1.307931,0.008549876,0.497114,58.14283155,50.77,0.05077,391724.1018,1217556.886,NA,NA,NA,391720.0153,1217556.326,99.35872,2013,0.8739238,0.8549876,0.189362,4.00995308593669,16.0797237514132,2.013,3.62475
"51",180,194.984,0.005208889,363.303,2490.5,1133.587,37432.934,1130.351,0.030196698,364.025,2490.974,1133.587,37237.95,1181.172,0.031719576,0.000194984,363.303,2.4905,1.133587,0.037432934,1.130351,30.19669791,364.025,2.490974,1.133587,0.03723795,1.181172,31.7195764,50.838,0.050838,429542.9411,1218766.321,NA,NA,NA,429503.4423,1218827.837,124.91777,2642,3.7432934,3.723795,0.194984,5.04147393706189,25.4164594580743,2.642,3.64025
"52",1404,186.149,0.018912978,240.693,2055.1,1295.259,9842.395,593.512,0.060301583,242.587,2055.1,1295.259,9656.246,644.57,0.066751613,0.000186149,240.693,2.0551,1.295259,0.009842395,0.593512,60.3015831,242.587,2.0551,1.295259,0.009656246,0.64457,66.75161341,51.067,0.051067,363581.6533,1108239.129,NA,NA,NA,363596.1307,1108238.742,144.14719,2072,0.9842395,0.9656246,0.186149,5.81754142333559,33.8437882122255,2.072,2.42587
"53",538,198.561,0.02717482,248.496,2096.375,1253.38,7306.801,383.987,0.052551999,253.772,2096.375,1253.38,7108.24,435.264,0.061233723,0.000198561,248.496,2.096375,1.25338,0.007306801,0.383987,52.55199916,253.772,2.096375,1.25338,0.00710824,0.435264,61.23372312,51.289,0.051289,384168.7593,1230557.033,NA,NA,NA,384166.665,1230554.033,93.6507,2110,0.7306801,0.710824,0.198561,3.77958686932693,14.2852769027886,2.11,2.53772
"54",1414,203.29,0.025654794,190.69,1915,1258.626,7924.055,402.293,0.050768577,193.414,1915,1258.626,7720.765,453.609,0.058751821,0.00020329,190.69,1.915,1.258626,0.007924055,0.402293,50.76857745,193.414,1.915,1.258626,0.007720765,0.453609,58.75182058,51.331,0.051331,402060.8523,1239162.315,NA,NA,NA,402057.7642,1239158.381,28.37397,1925,0.7924055,0.7720765,0.20329,1.14512635188713,1.31131436178633,1.925,1.93414
"55",2459,201.473,0.023048318,231.323,1784.091,1192.707,8741.332,380.757,0.043558236,235.224,1784.091,1192.707,8539.859,432.11,0.050599196,0.000201473,231.323,1.784091,1.192707,0.008741332,0.380757,43.55823575,235.224,1.784091,1.192707,0.008539859,0.43211,50.59919608,51.366,0.051366,387539.4702,1232231.937,NA,NA,NA,387539.2713,1232229.754,76.17039,1789,0.8741332,0.8539859,0.201473,3.07411056057789,9.45015573865649,1.789,2.35224
"56",1479,133.851,0.009884236,209.091,2367.231,1193.359,13541.866,1139.98,0.084181899,209.74,2366.667,1193.359,13408.015,1191.489,0.088863937,0.000133851,209.091,2.367231,1.193359,0.013541866,1.13998,84.1818993,209.74,2.366667,1.193359,0.013408015,1.191489,88.86393698,51.527,0.051527,425437.4194,1240444.212,19,NA,NA,425431.3284,1240446.793,89.4813,2392,1.3541866,1.3408015,0.133851,3.61131680308107,13.0416090522157,2.392,2.0974
"57",3013,213.361,0.010676146,328.078,2076.227,1563.601,19984.834,686.756,0.034363858,329.678,2076.095,1563.601,19771.473,739.332,0.037393876,0.000213361,328.078,2.076227,1.563601,0.019984834,0.686756,34.36385811,329.678,2.076095,1.563601,0.019771473,0.739332,37.39387551,52.577,0.052577,326581.0395,1204509.769,NA,NA,NA,326573.9524,1204508.703,59.13579,2079,1.9984834,1.9771473,0.213361,2.38662236791903,5.69596632705145,2.079,3.29678
"58",609,209.504,0.030356691,365.387,2966.111,1754.582,6901.411,350.067,0.050723975,368.099,2966.125,1754.582,6691.907,402.753,0.060185086,0.000209504,365.387,2.966111,1.754582,0.006901411,0.350067,50.72397514,368.099,2.966125,1.754582,0.006691907,0.402753,60.18508625,52.69,0.05269,335921.7957,1211991.825,NA,NA,NA,335917.676,1211995.316,168.03542,2982,0.6901411,0.6691907,0.209504,6.78163075143951,45.99051564887,2.982,3.68099
"59",2999,206.036,0.016683535,273.468,2146,1594.453,12349.661,478.607,0.038754667,274.705,2146,1594.453,12143.625,531.325,0.04375341,0.000206036,273.468,2.146,1.594453,0.012349661,0.478607,38.75466703,274.705,2.146,1.594453,0.012143625,0.531325,43.75340971,52.719,0.052719,325011.4799,1210191.14,NA,NA,NA,325016.6586,1210188.276,78.29387,2163,1.2349661,1.2143625,0.206036,3.15981069015811,9.98440359763745,2.163,2.74705
"61",477,213.143,0.033330076,220.308,1724.5,1286.152,6394.915,476.419,0.074499661,225.686,1724.5,1286.152,6181.772,529.256,0.085615581,0.000213143,220.308,1.7245,1.286152,0.006394915,0.476419,74.49966106,225.686,1.7245,1.286152,0.006181772,0.529256,85.61558078,52.851,0.052851,395133.315,1246944.999,NA,NA,NA,395144.3627,1246951.212,33.34296,1735,0.6394915,0.6181772,0.213143,1.3456665438752,1.81081844730502,1.735,2.25686
"62",1371,210.229,0.025476325,189.413,1854.222,1195.525,8251.936,581.404,0.070456678,190.816,1853.875,1195.525,8041.707,634.48,0.078898672,0.000210229,189.413,1.854222,1.195525,0.008251936,0.581404,70.45667829,190.816,1.853875,1.195525,0.008041707,0.63448,78.89867164,53.087,0.053087,369958.6529,1247726.534,NA,NA,NA,369960.4975,1247716.993,136.82788,1842,0.8251936,0.8041707,0.210229,5.52214621573401,30.4940988279455,1.842,1.90816
"64",3067,220.132,0.01146126,317.084,2264.091,1647.335,19206.614,590.879,0.03076435,319.359,2264.091,1647.335,18986.482,644.46,0.033943097,0.000220132,317.084,2.264091,1.647335,0.019206614,0.590879,30.76435024,319.359,2.264091,1.647335,0.018986482,0.64446,33.94309699,53.578,0.053578,309868.5059,1195275.512,NA,NA,NA,309864.9714,1195272.19,88.28246,2268,1.9206614,1.8986482,0.220132,3.56293360976352,12.6944959075825,2.268,3.19359
"67",1611,215.478,0.002803637,467.648,2637.296,1257.834,76856.604,1316.303,0.017126739,468.441,2637.138,1257.834,76641.126,1370.012,0.017875677,0.000215478,467.648,2.637296,1.257834,0.076856604,1.316303,17.12673904,468.441,2.637138,1.257834,0.076641126,1.370012,17.87567683,53.724,0.053724,400970.9919,1215961.051,NA,NA,NA,400978.3129,1215941.562,183.77271,2648,7.6856604,7.6641126,0.215478,7.41676166495954,55.0083535948134,2.648,4.68441
"68",2515,218.778,0.037177515,363.634,2512.333,1102.185,5884.686,348.825,0.05927674,366.971,2512.333,1102.185,5665.908,402.638,0.071063279,0.000218778,363.634,2.512333,1.102185,0.005884686,0.348825,59.27673966,366.971,2.512333,1.102185,0.005665908,0.402638,71.06327882,53.832,0.053832,444152.7326,1255861.396,NA,NA,NA,444154.4623,1255864.396,81.14016,2516,0.5884686,0.5665908,0.218778,3.2746822320718,10.7235437210467,2.516,3.66971
"69",1379,212.132,0.036586178,196.217,1703,1192.707,5798.146,323.775,0.055841126,198.522,1703,1192.707,5586.014,377.811,0.067635169,0.000212132,196.217,1.703,1.192707,0.005798146,0.323775,55.84112577,198.522,1.703,1.192707,0.005586014,0.377811,67.63516883,54.05,0.05405,388725.0851,1234547.25,NA,NA,NA,388730.0463,1234546.182,57.56913,1703,0.5798146,0.5586014,0.212132,2.32339456967834,5.39816232641079,1.703,1.98522
"70",460,225.122,0.034590283,280.733,2294.5,1187.92,6508.244,359.728,0.055272666,284.137,2294.5,1187.92,6283.122,413.81,0.065860571,0.000225122,280.733,2.2945,1.18792,0.006508244,0.359728,55.27266648,284.137,2.2945,1.18792,0.006283122,0.41381,65.86057059,54.098,0.054098,407326.9769,1245928.236,NA,NA,NA,407322.4487,1245933.518,42.67139,2290,0.6508244,0.6283122,0.225122,1.72214650119998,2.96578857159532,2.29,2.84137
"71",1884,220.824,0.035813674,302.144,1688.286,1192.707,6165.913,554.168,0.089876065,313.412,1688.286,1192.707,5945.089,608.288,0.102317728,0.000220824,302.144,1.688286,1.192707,0.006165913,0.554168,89.87606539,313.412,1.688286,1.192707,0.005945089,0.608288,102.3177281,54.133,0.054133,385210.9586,1234187.676,NA,NA,NA,385208.1352,1234187.603,89.47881,1679,0.6165913,0.5945089,0.220824,3.61121631081241,13.0408832434776,1.679,3.13412
"72",545,199.949,0.017727077,210.749,1635.167,1168.77,11279.299,741.179,0.065711442,212.016,1635.167,1168.77,11079.35,795.384,0.071789771,0.000199949,210.749,1.635167,1.16877,0.011279299,0.741179,65.71144182,212.016,1.635167,1.16877,0.01107935,0.795384,71.78977106,54.219,0.054219,398973.7923,1230888.388,NA,NA,NA,398974.9021,1230883.701,56.64363,1642,1.1279299,1.107935,0.199949,2.28604292524256,5.22599225605155,1.642,2.12016
"73",1324,223.046,0.030399434,290.086,2049.125,1244.235,7337.176,316.993,0.043203679,293.106,2049.286,1244.235,7114.13,371.22,0.05218066,0.000223046,290.086,2.049125,1.244235,0.007337176,0.316993,43.20367945,293.106,2.049286,1.244235,0.00711413,0.37122,52.18066018,54.235,0.054235,358891.8386,1339632.977,NA,NA,NA,358891.412,1339632.923,103.8094,2048,0.7337176,0.711413,0.223046,4.18957514629049,17.552539906415,2.048,2.93106
"75",2169,201.945,0.0068615,476.495,1796.688,1490.33,29431.611,705.393,0.02396719,476.653,1796.688,1490.33,29229.666,758.857,0.025961877,0.000201945,476.495,1.796688,1.49033,0.029431611,0.705393,23.96718956,476.653,1.796688,1.49033,0.029229666,0.758857,25.96187722,54.611,0.054611,345324.7108,1316400.459,NA,NA,NA,345348.5594,1316401.696,129.05801,1798,2.9431611,2.9229666,0.201945,5.20856715408923,27.1291717986572,1.798,4.76653
